,label,indices
2225,Mathematical problem-solving reasoning,"[7334, 9764, 273, 5820, 705, 8964, 4729, 1032, 4275, 8755]"
2229,Mathematical calculation results in programming problems,"[17009, 7953, 1834, 14083, 3410, 1981, 12756, 1553, 16817, 12345]"
2240,Small integers in mathematical problem-solving contexts,"[1662, 12893, 3517, 2819, 2610, 6398, 7099, 15084, 7934, 19388]"
2247,Mathematical equation manipulation and algebraic reasoning,"[6182, 4835, 2180, 15613, 2182, 5580, 5581, 3753, 14248, 6073]"
2256,Another example in programming problem solutions,"[2553, 1998, 2262, 2249, 3426, 3152, 2897, 1515, 4393, 10472]"
2258,Parameter variables in programming and mathematical contexts,"[8368, 2865, 1820, 7165, 11654, 1063, 2297, 7111, 2725, 2192]"
2271,Mathematical problem solving,"[11758, 1618, 486, 5630, 4690, 3373, 5697, 8631, 4382, 1911]"
2282,Mathematical problem-solving reasoning,"[2357, 1233, 14103, 5456, 2326, 1902, 4933, 1208, 498, 1878]"
2285,mathematical optimization achievement,"[11821, 1388, 11576, 5850, 4374, 2185, 2341, 4336, 1524, 1821]"
2307,Mathematical notation and algebraic expressions,"[656, 605, 1295, 5633, 392, 3542, 173, 9886, 597, 5632]"
2320,Mathematical problem-solving tasks,"[212, 7, 109, 272, 46, 7, 7, 288, 20, 18]"
2321,Mathematical variable operations and indexing,"[7011, 136, 18504, 13995, 149, 4387, 1597, 3770, 1410, 14888]"
2329,Analyzing specific cases in mathematical problem-solving,"[790, 12585, 1140, 4118, 1958, 2812, 888, 3442, 2296, 1247]"
2345,Subtraction operations in mathematical calculations,"[2153, 1050, 8821, 1099, 1120, 2554, 2394, 2377, 12117, 7540]"
2355,mathematical comparison and quantitative reasoning,"[9468, 7375, 2505, 10840, 7867, 7364, 6026, 5763, 2291, 6612]"
2389,Line breaks in mathematical reasoning,"[336, 2070, 1531, 765, 1578, 4407, 1179, 1054, 1955, 1169]"
2403,Mathematical and programming syntax elements,"[12655, 33, 6518, 611, 48, 3610, 9086, 266, 398, 4266]"
2408,Small integers in programming and mathematical contexts,"[5693, 6817, 11279, 11205, 12181, 11420, 2120, 12175, 5612, 12736]"
2417,Confusion and problem identification,"[4934, 2399, 6053, 4735, 4929, 3858, 3027, 3175, 6124, 10029]"
2441,Mathematical expressions and variable assignments,"[2178, 1485, 9204, 2329, 13744, 9507, 2330, 11388, 1516, 7932]"
2450,Mathematical computation and calculation,"[2903, 1608, 2494, 8929, 4146, 8137, 2401, 2965, 2297, 512]"
2454,Algorithmic problem-solving explanations,"[1292, 9195, 6610, 9893, 15472, 14824, 9756, 6404, 6854, 11773]"
2457,Mathematical and logical problem solving,"[3993, 1078, 3525, 2145, 2164, 1822, 1668, 8239, 1105, 1359]"
2483,Mathematical algorithm implementation and reasoning,"[2387, 2081, 5647, 3290, 13674, 5864, 4464, 9587, 11242, 1472]"
2489,Probability and randomness concepts,"[191, 191, 191, 191, 345, 197, 68, 97, 503, 166]"
2497,Mathematical algorithm reasoning in computational problems,"[163, 398, 49, 380, 47, 275, 436, 8656, 10976, 10751]"
2500,Mathematical calculations and operations,"[17442, 3688, 1787, 1896, 2493, 1871, 2209, 2618, 2604, 6734]"
2510,Extending algorithms or mathematical concepts,"[2820, 1946, 1189, 3161, 5317, 702, 11102, 396, 12218, 2558]"
2514,Mathematical conversion operations,"[1093, 237, 7660, 504, 986, 18688, 1246, 9288, 3309, 1544]"
2537,Mathematical sequences and numerical representations,"[3119, 1161, 1631, 1929, 1463, 1424, 2488, 10218, 5329, 12167]"
2540,Small integers in mathematical reasoning,"[1379, 3220, 6826, 1053, 1209, 1828, 3018, 5570, 1462, 1174]"
2544,Sequences of numbers in mathematical explanations,"[12040, 10668, 3902, 3533, 4558, 3141, 4424, 306, 5632, 1276]"
2549,Mathematical reasoning with small integers,"[11559, 1155, 4810, 7622, 5663, 7677, 1199, 1656, 12598, 1759]"
2563,Mathematical notation and variables in problem-solving contexts,"[1944, 2675, 1294, 2792, 1043, 718, 843, 518, 6683, 2162]"
2570,Algorithmic explanation markers,"[11435, 5775, 7229, 4799, 867, 2927, 11082, 7917, 2714, 8398]"
2573,mathematical calculation,"[9541, 9883, 9227, 5336, 12890, 6674, 11741, 8408, 4467, 3097]"
2600,Mathematical problem-solving reasoning,"[12175, 7619, 5132, 1661, 16667, 423, 6456, 1090, 4659, 3971]"
2607,Mathematical problem solving,"[2882, 738, 469, 218, 9089, 74, 8425, 128, 205, 6975]"
2610,Range and interval-based mathematical reasoning,"[1611, 2144, 2677, 1964, 806, 6142, 2047, 269, 1436, 1617]"
2619,End of mathematical solution explanation,"[1894, 1196, 4410, 357, 3461, 1024, 1969, 1901, 6891, 2531]"
2626,Step-by-step mathematical reasoning,"[129, 2771, 172, 308, 109, 4970, 2254, 71, 3067, 188]"
2636,Mathematical variables and notation,"[7048, 10466, 14698, 7343, 6707, 7261, 6155, 6616, 14404, 10594]"
2652,Mathematical calculation and equation processing,"[2811, 12757, 20721, 4215, 4598, 985, 4597, 7968, 11252, 15053]"
2653,Recognition of the number 2 in mathematical contexts,"[7098, 3014, 3891, 2561, 3328, 8345, 9319, 19112, 7078, 7602]"
2657,The number 1 in mathematical expressions,"[1566, 2544, 1781, 1760, 926, 1643, 1918, 5845, 1670, 1545]"
2665,Mathematical variables in equations and algorithms,"[7028, 4368, 8221, 1493, 4316, 1303, 2662, 1532, 3712, 732]"
2682,Establishing relationships between concepts,"[2511, 761, 11395, 7866, 2488, 858, 3897, 1535, 2146, 1726]"
2706,Algorithmic problem-solving explanations,"[3321, 946, 2532, 5519, 2144, 1563, 1493, 9310, 5784, 5469]"
2713,Step-by-step mathematical reasoning,"[303, 949, 253, 1422, 2271, 630, 875, 1519, 180, 1320]"
2719,Programming algorithm explanation,"[109, 168, 150, 25, 118, 141, 25, 207, 619, 64]"
2729,Programming problem-solving explanations,"[11854, 5776, 15157, 4959, 12306, 3761, 3627, 3136, 9172, 3633]"
2744,Mathematical expressions and equations,"[203, 3137, 17970, 15265, 3992, 4370, 17969, 1714, 14808, 8432]"
2774,Algorithm explanation and mathematical reasoning,"[698, 4557, 3929, 188, 8457, 123, 857, 7274, 455, 14649]"
2820,Mathematical addition operations,"[9708, 8146, 14203, 3892, 1564, 2062, 9007, 1877, 4556, 19678]"
2829,Prime numbers in mathematical contexts,"[1198, 4059, 13122, 1563, 2221, 13524, 1807, 2908, 12679, 10009]"
2844,End of detailed technical explanation,"[9252, 8376, 11285, 12858, 16004, 11056, 11294, 7532, 10831, 20181]"
2847,Key numerical values in mathematical problem-solving,"[6322, 808, 2479, 1670, 2867, 1077, 944, 2874, 1413, 953]"
2859,Equation solving and mathematical reasoning,"[12405, 5364, 4013, 12093, 3271, 4012, 3860, 12848, 12229, 2330]"
2860,Mathematical pattern templates and formulas,"[524, 720, 1146, 3775, 2417, 407, 6167, 372, 2277, 2443]"
2862,Problem solving explanation,"[911, 2764, 1725, 7239, 1594, 1177, 2282, 699, 1042, 5002]"
2866,Mathematical operations and algebraic manipulation,"[10233, 9852, 2608, 6086, 9851, 10146, 1676, 10983, 2467, 766]"
2879,Computational problem-solving and algorithm explanation,"[403, 406, 274, 348, 127, 585, 19, 2397, 19, 515]"
2912,Mathematical addition operations,[]
2933,Detailed technical algorithm explanations,[]
2952,Mathematical reasoning and logical operations,[]
2964,Mathematical conditional reasoning,"[3774, 1788, 947, 2503, 3165, 914, 601, 1949, 938, 3641]"
2966,Mathematical and algorithmic problem-solving,"[2844, 4020, 8037, 6985, 3711, 2081, 6383, 2906, 4040, 6819]"
2975,Mathematical operations and calculations,"[2235, 9784, 1125, 11051, 4132, 3125, 10023, 9040, 10699, 13736]"
2982,Algorithmic problem-solving explanations,"[11318, 11106, 1538, 4549, 1667, 5389, 3302, 6490, 13459, 2756]"
2988,The digit 1 in programming and mathematical contexts,[]
2993,geometric shapes and spatial relationships,[]
3000,Formal mathematical reasoning,[]
3015,Algorithmic problem-solving explanations,[]
3022,Algorithmic problem-solving explanations,[]
3028,Mathematical notation and expressions,[]
3075,Mathematical variables and parameters in problem-solving contexts,[]
3094,Mathematical divisibility concepts,[]
3117,Mathematical operators and symbols in programming explanations,[]
3121,Mathematical calculation steps,[]
3122,Mathematical problem-solving,[]
3126,Mathematical problem-solving and algorithmic reasoning,[]
3138,Key insight that simplifies a programming problem,[]
3155,Everyday objects and their properties,[]
3165,Mathematical expressions and equation parsing,[]
3169,Mathematical non-existence reasoning,[]
3170,Mathematical reasoning with small integers,[]
3209,Mathematical reasoning through algebraic manipulations,[]
3220,Mathematical reasoning and calculation steps,[]
3227,Reasoning through a complex problem or algorithm,[]
3234,Mathematical reasoning about relationships between values,[]
3250,Mathematical reasoning with numbers and calculations,[]
3254,Mathematical relationships between objects,[]
3260,Mathematical equation processing,[]
3269,Detailed mathematical and algorithmic explanations,[]
3288,Programming concepts and algorithms,[]
3306,Period at the end of a technical explanation or algorithmic solution,[]
3323,Algorithm and computational problem descriptions,[]
3330,Mathematical summation operations in algorithms,[]
3337,Mathematical calculation and numerical computation,[]
3357,Numbers and numerical expressions in problem-solving contexts,[]
3382,Mathematical relationships between values in explanations,[]
3384,Mathematical definition statements,[]
3386,Mathematical operators and equations,[]
3404,Mathematical notation and numerical calculations,[]
3414,Algorithm problem solving explanations,[]
3430,Algorithm explanation in programming solutions,[]
3446,Mathematical and algorithmic explanations,[]
3460,Problem-solving explanation and algorithm description,[]
3470,probability that - mathematical expectation contexts,[]
3477,mathematical equations and equality statements,[]
3484,Mathematical and algorithmic problem statements,[]
3491,detailed mathematical and algorithmic problem solving,[]
3504,Programming problem-solving explanations,[]
3508,The assistant is solving a complex algorithmic or mathematical problem,[]
3514,Geometric reasoning and mathematical notation,[]
3527,Mathematical algorithm explanation,[]
3531,Algorithm explanation for computational problems,[]
3556,Mathematical equation syntax,[]
3572,Programming algorithm explanations,[]
3583,Mathematical calculation steps,[]
3593,"Mathematical theorems and properties, especially about the number 4",[]
3628,Algorithmic problem-solving explanations,[]
3652,Mathematical and programming variables in formulas,[]
3663,Variable 'k' in algorithms and mathematical contexts,[]
3667,Mathematical reasoning with complex numbers and trigonometry,[]
3672,Mathematical expressions and variables,[]
3674,Mathematical problem-solving and algorithm design,[]
3676,Small numbers and spatial dimensions,[]
3692,Mathematical programming problems,[]
3710,Mathematical notation and expressions,[]
3712,Mathematical notation and geometric squares,[]
3713,Mathematical variables and operations in problem-solving,[]
3725,Mathematical operations in code and equations,[]
3750,Mathematical addition operations,[]
3769,Algorithm explanation in programming solutions,[]
3779,Algorithmic problem-solving explanations,[]
3781,Mathematical reasoning and notation,[]
3803,Mathematical equations and expressions,[]
3815,Explaining numerical results in computational problems,[]
3818,Mathematical reasoning in algorithmic problem solving,[]
3820,Divisibility concepts in mathematical problems,[]
3825,Mathematical problem-solving reasoning,[]
3838,Programming problem-solving explanations,[]
3843,Mathematical addition and numeric sequences,[]
3900,Performing mathematical or algorithmic operations,[]
3905,Mathematical calculations and equations,[]
3919,Recognizes crucial mathematical insights,[]
3925,mathematical equations and variable assignments,[]
3931,Mathematical difference between values,[]
3932,Problem constraints and conditions in mathematical problems,[]
3933,mathematical reasoning and verification,[]
3937,Length and distance relationships in geometric reasoning,[]
3981,Scientific notation and mathematical expressions,[]
3984,length-related concepts in algorithms and mathematics,[]
3991,Numbers in mathematical expressions,[]
4024,Programming and mathematical problem statements,[]
4026,Algorithm description and implementation,[]
4037,Mathematical problem solving and calculation,[]
4040,mathematical problem solving and algorithm development,[]
4051,Mathematical calculation steps,[]
4054,Mathematical formula explanations,[]
4059,Mathematical reasoning and calculation steps,[]
4061,Step-by-step mathematical reasoning,[]
4062,Analyzing concrete examples in algorithmic problem-solving,[]
4081,The number 2 and its mathematical properties,[]
4085,Numerical digits in mathematical contexts,[]
4093,Mathematical reasoning in algorithmic problem-solving,[]
4108,Mathematical expressions involving variables in programming,[]
4116,Problem statement introducing key object or concept,[]
4125,Algorithm explanation and implementation,[]
4150,Mathematical reasoning and variable manipulation,[]
4178,Algorithm explanation and problem-solving approaches,[]
4194,Numbers in programming contexts,[]
4204,mathematical reasoning and calculation,[]
4206,The number 2 in mathematical contexts,[]
4209,Mathematical calculation steps and arithmetic reasoning,[]
4240,Negative numbers in programming contexts,[]
4242,Mathematical equation processing in algorithmic reasoning,[]
4258,Programming and mathematical reasoning with variable n,[]
4289,Mathematical variables and parameters in algorithmic reasoning,[]
4305,Considering edge cases in mathematical reasoning,[]
4336,Algorithm explanation for programming problems,[]
4344,Mathematical diagram interpretation,[]
4346,Mathematical expressions and operations in problem solving,[]
4350,Lists of numbers in mathematical contexts,[]
4363,Mathematical confusion and conceptual uncertainty,[]
4380,Mathematical computation and numerical operations,[]
4383,Mathematical comparison operations,[]
4405,Algorithm explanation and implementation,[]
4406,Integer division operations in mathematical contexts,[]
4412,problem-solving explanation with time-related concepts,[]
4416,Mathematical reasoning in competitive programming problems,[]
4417,Algorithmic explanations and computational problem-solving,[]
4443,Mathematical programming problems requiring algorithmic solutions,[]
4462,Mathematical reasoning and calculation,[]
4474,Mathematical beauty conditions,[]
4477,Mathematical and algorithmic numerical tokens,[]
4496,Mathematical reasoning about non-negative integers and variable constraints,"[2010, 14665, 1251, 1575, 1628, 510, 739, 747, 7833, 1647]"
4501,Sequential numbers in algorithm explanations,[]
4511,Algorithmic problem-solving explanations,"[7317, 6560, 7625, 11356, 7614, 13935, 1239, 5796, 8854, 882]"
4529,Mathematical operations (subtraction and division),"[1825, 2875, 1799, 1721, 3002, 2896, 11345, 6627, 1943, 10313]"
4541,Mathematical relationships where quantities increase or decrease,"[4770, 15654, 17258, 7764, 17259, 3771, 4621, 7238, 2392, 1286]"
4546,Mathematical reasoning about distribution and allocation,"[590, 1337, 1627, 2903, 2974, 6214, 13267, 7214, 3220, 1520]"
4558,Numbers in mathematical contexts,"[9243, 1362, 4341, 1218, 12884, 6648, 8540, 1117, 2933, 6077]"
4564,Mathematical equivalence explanations,"[468, 470, 5496, 356, 275, 519, 393, 264, 184, 1626]"
4574,Flexible ordering in mathematical contexts,"[1950, 250, 167, 437, 1144, 940, 1716, 167, 778, 6149]"
4580,Reasoning through mathematical problems,"[5382, 7819, 3113, 10340, 6428, 3024, 643, 8954, 5108, 2960]"
4615,Mathematical problem solving steps,"[5052, 6272, 3523, 2082, 4671, 5950, 8638, 6353, 1556, 1246]"
4640,Mathematical problem-solving,"[5884, 7984, 3543, 8677, 3566, 3528, 4107, 739, 597, 12118]"
4647,Mathematical reasoning and equation solving,"[4858, 5254, 5253, 12356, 8046, 10559, 15792, 2799, 19249, 6877]"
4653,Mathematical expressions and assignments,"[11411, 12254, 15257, 23862, 15633, 11530, 4070, 12659, 4733, 10860]"
4657,Step-by-step mathematical reasoning,"[217, 156, 2523, 2524, 2293, 1302, 1695, 2367, 16119, 1072]"
4668,Technical problem-solving and algorithm explanation,"[94, 39, 622, 94, 122, 125, 51, 117, 574, 269]"
4669,Mathematical reasoning and calculation,"[1171, 706, 10678, 6842, 14119, 2541, 979, 7926, 5430, 5609]"
4670,Mathematical reasoning with logarithms,"[1924, 4892, 9199, 734, 790, 10640, 389, 1311, 696, 10764]"
4678,Mathematical problem-solving and algorithmic thinking,"[2531, 2178, 270, 5913, 795, 15233, 632, 20939, 16045, 18212]"
4682,Calculating sums and differences in mathematical explanations,"[5108, 699, 16591, 12938, 5609, 3560, 16828, 1304, 5779, 11863]"
4690,Mathematical calculation steps and numerical reasoning,"[2817, 845, 823, 1661, 2500, 1701, 1406, 355, 2818, 1649]"
4715,Small integers and numerical symbols in programming contexts,"[4869, 8739, 5256, 1333, 4119, 3227, 6843, 4870, 8205, 10668]"
4716,Mathematical and computational representations,"[11365, 6754, 6142, 6137, 7930, 2793, 6108, 587, 14308, 1723]"
